region_id,screen_name,asset_filename,ue_asset_path,source_art_path,width,height,color_mode,has_alpha,shared,usage,notes,sha256
R08_idle_strip,DesktopTrainingWorkbench_Default,T_Item_TrainingNormalChest.png,/Game/GameXXK/UI/Items/T_Item_TrainingNormalChest.T_Item_TrainingNormalChest,,512,512,RGBA,true,false,顶部历练条、主角、宝箱与波次图标；连续背景同图平铺 3 次,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",615a7562938ee60ab298d69786f18b0e4c8d974e0322724b2f9b06d734ac1a9a
R08_idle_strip,DesktopTrainingWorkbench_Default,T_Item_TrainingAdvancedChest.png,/Game/GameXXK/UI/Items/T_Item_TrainingAdvancedChest.T_Item_TrainingAdvancedChest,,512,512,RGBA,true,false,顶部历练条、主角、宝箱与波次图标；连续背景同图平铺 3 次,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",0b777499a702cc8655274c99cb336093bc727e570a634e2897fa7ddcd82cc85f
R08_idle_strip,DesktopTrainingWorkbench_Default,T_TrainingRetryButtonBase.png,/Game/GameXXK/UI/Training/IdleStrip/T_TrainingRetryButtonBase.T_TrainingRetryButtonBase,SourceArt/UI/Training/IdleStrip/final/T_TrainingRetryButtonBase.png,256,256,RGBA,true,false,顶部历练条、主角、宝箱与波次图标；连续背景同图平铺 3 次,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",a638762e2fb1cad25ab53450068f93058a50b8933cf2832ff3790d1c15bdaa42
R08_idle_strip,DesktopTrainingWorkbench_Default,T_TrainingRetryIconEnabled.png,/Game/GameXXK/UI/Training/IdleStrip/T_TrainingRetryIconEnabled.T_TrainingRetryIconEnabled,SourceArt/UI/Training/IdleStrip/final/T_TrainingRetryIconEnabled.png,256,256,RGBA,true,false,顶部历练条、主角、宝箱与波次图标；连续背景同图平铺 3 次,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",1c3d8df05827429a8372fc0a00dea8c77b7dbbd1237756bf951837bb3a0e028a
R08_idle_strip,DesktopTrainingWorkbench_Default,T_TrainingWaveMarkerNormal.png,/Game/GameXXK/UI/Training/IdleStrip/T_TrainingWaveMarkerNormal.T_TrainingWaveMarkerNormal,SourceArt/UI/Training/IdleStrip/final/T_TrainingWaveMarkerNormal.png,256,256,RGBA,true,false,顶部历练条、主角、宝箱与波次图标；连续背景同图平铺 3 次,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",3a87de247b54df1768c9d2a5c461ffd48c01108f107e635ba0d43893fa25f6ac
R08_idle_strip,DesktopTrainingWorkbench_Default,T_TrainingWaveMarkerElite.png,/Game/GameXXK/UI/Training/IdleStrip/T_TrainingWaveMarkerElite.T_TrainingWaveMarkerElite,SourceArt/UI/Training/IdleStrip/final/T_TrainingWaveMarkerElite.png,256,256,RGBA,true,false,顶部历练条、主角、宝箱与波次图标；连续背景同图平铺 3 次,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",a80ba4d411bbb14009ee49a4eb439ba89917a67212f0c0aa05b18899e7dd9860
R08_idle_strip,DesktopTrainingWorkbench_Default,T_TrainingWaveMarkerBoss.png,/Game/GameXXK/UI/Training/IdleStrip/T_TrainingWaveMarkerBoss.T_TrainingWaveMarkerBoss,SourceArt/UI/Training/IdleStrip/final/T_TrainingWaveMarkerBoss.png,256,256,RGBA,true,false,顶部历练条、主角、宝箱与波次图标；连续背景同图平铺 3 次,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",d04b89c3ae4e64647a9e507f7467a1609139fabe1850c0a360e94c1ba9a0c3f0
R09_side_actions,DesktopTrainingWorkbench_Default,T_DesktopTownEnterButton.png,/Game/GameXXK/UI/DesktopOverlay/T_DesktopTownEnterButton.T_DesktopTownEnterButton,SourceArt/UI/DesktopOverlay/T_DesktopTownEnterButton.png,512,512,RGBA,true,false,左侧剧情任务 / 进入城镇,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",03bb05574f5c3b21f7b6a0424e92c7107e0ada81a4200e513a9b6ae14ff6324b
R09_side_actions,DesktopTrainingWorkbench_Default,T_DesktopStoryQuestButton.png,/Game/GameXXK/UI/DesktopOverlay/T_DesktopStoryQuestButton.T_DesktopStoryQuestButton,SourceArt/UI/DesktopOverlay/T_DesktopStoryQuestButton.png,512,512,RGBA,true,false,左侧剧情任务 / 进入城镇,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",f73390ec16d25ea97de393b2d82215ead6da084d5471f21614e5f884040e472b
C01,DesktopTrainingWorkbench_Default,CODE_DRAWN,,,,,,,true,文字、数值、数量角标、纯色进度条和程序边框,No replacement PNG; do not bake these into the image assets.,
