UE资产路径,容器原始路径,字节,KB,MB,类别,扩展名
/Game/GameXXK/BattleAnimations/Atlases/T_character_02_guard_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_02_guard_2k_idle_atlas.uasset,1186262,1158.5,1.131,战斗动画图集,.uasset
/Game/GameXXK/UI/QuestDialog/Textures/T_QuestDialogAccept.uasset,../../../GameXXK/Content/GameXXK/UI/QuestDialog/Textures/T_QuestDialogAccept.uasset,1181959,1154.3,1.127,其他UI,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_01_rooster_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_01_rooster_2k_idle_atlas.uasset,1179179,1151.5,1.125,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_character_05_sorcerer_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_05_sorcerer_2k_idle_atlas.uasset,1174666,1147.1,1.12,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_12_redtusk_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_12_redtusk_2k_idle_atlas.uasset,1171481,1144.0,1.117,战斗动画图集,.uasset
/Game/GameXXK/UI/Town/Textures/PSD/Backgrounds/T_TownPsd_Background_Task.uasset,../../../GameXXK/Content/GameXXK/UI/Town/Textures/PSD/Backgrounds/T_TownPsd_Background_Task.uasset,1159325,1132.2,1.106,城镇UI,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_character_03_healer_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_03_healer_2k_idle_atlas.uasset,1147458,1120.6,1.094,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_character_06_formation_master_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_06_formation_master_2k_idle_atlas.uasset,1130112,1103.6,1.078,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_19_moneyrat_boss_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_19_moneyrat_boss_2k_idle_atlas.uasset,1095667,1070.0,1.045,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_08_boar_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_08_boar_2k_idle_atlas.uasset,1082159,1056.8,1.032,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_07_graywolf_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_07_graywolf_2k_idle_atlas.uasset,1081757,1056.4,1.032,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_20_blackbear_boss_2k_attack_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_20_blackbear_boss_2k_attack_atlas.uasset,1069123,1044.1,1.02,战斗动画图集,.uasset
