region_id,screen_name,asset_filename,asset_relative_path,ue_asset_path,source_art_path,width,height,color_mode,has_alpha,shared,usage,notes,sha256
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_VulnerabilityMask.png,T_BattleStatus_VulnerabilityMask.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_VulnerabilityMask.T_BattleStatus_VulnerabilityMask,,1254,1254,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",c311c1fbcdc46877b9ce17f52be9bd1fd4e6fc7d339e75f5bb4d50ef5d890afe
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_WeakBrokenBlade.png,T_BattleStatus_WeakBrokenBlade.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_WeakBrokenBlade.T_BattleStatus_WeakBrokenBlade,,512,512,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",82e73f6572392f293faf3dacf4ef070794e16db0d63cf844858fb5a157c6bfc5
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_WealthCoin.png,T_BattleStatus_WealthCoin.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_WealthCoin.T_BattleStatus_WealthCoin,,512,512,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",c68f5d2ec535475994871fb59962a05c08acb88603473dc6882741392079e62d
R01_background,17_BattleRetreatConfirm,T_BattleArena_Cave_GeneratedV2.png,T_BattleArena_Cave_GeneratedV2.png,/Game/GameXXK/UI/Battle/Textures/T_BattleArena_Cave_GeneratedV2.T_BattleArena_Cave_GeneratedV2,,1672,941,RGBA,true,true,战场/场景背景,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",4e591cca8329685d7021254b18d6bc8a5a65481ec23b948f54c2f414c2661262
R01_background,17_BattleRetreatConfirm,T_BattleArena_Cliff_GeneratedV2.png,T_BattleArena_Cliff_GeneratedV2.png,/Game/GameXXK/UI/Battle/Textures/T_BattleArena_Cliff_GeneratedV2.T_BattleArena_Cliff_GeneratedV2,,1672,941,RGBA,true,true,战场/场景背景,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",9291fc29c9b22e9ac83d201e026f33603f32091464aa420a95f704d2ef36af86
R01_background,17_BattleRetreatConfirm,T_BattleArena_Ferry_GeneratedV2.png,T_BattleArena_Ferry_GeneratedV2.png,/Game/GameXXK/UI/Battle/Textures/T_BattleArena_Ferry_GeneratedV2.T_BattleArena_Ferry_GeneratedV2,,1672,941,RGBA,true,true,战场/场景背景,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",e526ec2d0c74ec959244ee0f4815ace4b7f8daa4885b5262d68034133bc802c7
R01_background,17_BattleRetreatConfirm,T_BattleArena_Forest_GeneratedV2.png,T_BattleArena_Forest_GeneratedV2.png,/Game/GameXXK/UI/Battle/Textures/T_BattleArena_Forest_GeneratedV2.T_BattleArena_Forest_GeneratedV2,,1672,941,RGBA,true,true,战场/场景背景,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",8d77728d5e1eb3a9fbdce0a3e7433e4e1fd8ef0b3e99b4dfa60bec0da9586050
R01_background,17_BattleRetreatConfirm,T_BattleArena_Plain_GeneratedV2.png,T_BattleArena_Plain_GeneratedV2.png,/Game/GameXXK/UI/Battle/Textures/T_BattleArena_Plain_GeneratedV2.T_BattleArena_Plain_GeneratedV2,,1672,941,RGBA,true,true,战场/场景背景,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",299430b1c2aa2156b8beba500ec8d8e3cd006fa8de217cbb2261876af1016da0
R01_background,17_BattleRetreatConfirm,T_BattleArena_Riverside_GeneratedV1.png,T_BattleArena_Riverside_GeneratedV1.png,/Game/GameXXK/UI/Battle/Textures/T_BattleArena_Riverside_GeneratedV1.T_BattleArena_Riverside_GeneratedV1,,1672,941,RGBA,true,true,战场/场景背景,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",e5bd091e4dcef41317a55dc18f281fc8e49de422aca15a2b52a7cc3b9bed94f7
R01_background,17_BattleRetreatConfirm,T_BattleArena_Village_GeneratedV2.png,T_BattleArena_Village_GeneratedV2.png,/Game/GameXXK/UI/Battle/Textures/T_BattleArena_Village_GeneratedV2.T_BattleArena_Village_GeneratedV2,,1672,941,RGBA,true,true,战场/场景背景,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",a13a3238a05f89976715e2c5c50710d1652b20b23c63292373dcfbeaec24604e
R01_background,17_BattleRetreatConfirm,T_BattleArena_WaterShore_GeneratedV2.png,T_BattleArena_WaterShore_GeneratedV2.png,/Game/GameXXK/UI/Battle/Textures/T_BattleArena_WaterShore_GeneratedV2.T_BattleArena_WaterShore_GeneratedV2,,1672,941,RGBA,true,true,战场/场景背景,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",09beb65f81bee0b8b0ace616b5dc78c97174c831e5448afb3423c8b487207359
R04_effects,17_BattleRetreatConfirm,T_BattleTargetArrowHead.png,T_BattleTargetArrowHead.png,/Game/GameXXK/UI/Battle/Textures/T_BattleTargetArrowHead.T_BattleTargetArrowHead,,1254,1254,RGBA,true,true,命中、目标箭头与墨迹特效,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",b840781cc9b6c7d0081e012797063d841758693fdb175d9cf100c0c315aa56c5
R04_effects,17_BattleRetreatConfirm,T_BattleTargetInkDab_00.png,T_BattleTargetInkDab_00.png,/Game/GameXXK/UI/Battle/Textures/T_BattleTargetInkDab_00.T_BattleTargetInkDab_00,,144,142,RGBA,true,true,命中、目标箭头与墨迹特效,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",23bd02e994afefa16daf25dc4c95c6ba2e97382aa9530d3b8b7b980c2b9d92e2
R04_effects,17_BattleRetreatConfirm,T_BattleTargetInkDab_01.png,T_BattleTargetInkDab_01.png,/Game/GameXXK/UI/Battle/Textures/T_BattleTargetInkDab_01.T_BattleTargetInkDab_01,,329,186,RGBA,true,true,命中、目标箭头与墨迹特效,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",b5cee38a625085e48c88edf55f73e8a922f8099b7b7dcd12af33b39e7742034f
R04_effects,17_BattleRetreatConfirm,T_BattleTargetInkDab_02.png,T_BattleTargetInkDab_02.png,/Game/GameXXK/UI/Battle/Textures/T_BattleTargetInkDab_02.T_BattleTargetInkDab_02,,362,161,RGBA,true,true,命中、目标箭头与墨迹特效,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",59f4914820824621bfeac690fe0ca3ebeb90e19b4a4728c27814b2fe2ebbdfe3
R04_effects,17_BattleRetreatConfirm,T_BattleTargetInkDab_03.png,T_BattleTargetInkDab_03.png,/Game/GameXXK/UI/Battle/Textures/T_BattleTargetInkDab_03.T_BattleTargetInkDab_03,,323,149,RGBA,true,true,命中、目标箭头与墨迹特效,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",c6e03318615771d27599fa21e845000f8cf873b4e1ca11ff32ede6e5c03f8333
R04_effects,17_BattleRetreatConfirm,T_BattleTargetInkDab_04.png,T_BattleTargetInkDab_04.png,/Game/GameXXK/UI/Battle/Textures/T_BattleTargetInkDab_04.T_BattleTargetInkDab_04,,286,146,RGBA,true,true,命中、目标箭头与墨迹特效,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",6ef821131a176b40eec1c40a43cbc35d522ee75a0677ac73e74aba4311daf1dd
R04_effects,17_BattleRetreatConfirm,T_BattleTargetInkDab_05.png,T_BattleTargetInkDab_05.png,/Game/GameXXK/UI/Battle/Textures/T_BattleTargetInkDab_05.T_BattleTargetInkDab_05,,322,147,RGBA,true,true,命中、目标箭头与墨迹特效,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",42f73be39fb7e80531fa42f5b8c5dd634d1a6b054fe20bfee25acb934d513955
R04_effects,17_BattleRetreatConfirm,T_BattleTargetInkDab_06.png,T_BattleTargetInkDab_06.png,/Game/GameXXK/UI/Battle/Textures/T_BattleTargetInkDab_06.T_BattleTargetInkDab_06,,362,218,RGBA,true,true,命中、目标箭头与墨迹特效,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",98b22cd1550db1048309e2b28783d1fba0ade503fba9bf65cb571df2a63e136b
R04_effects,17_BattleRetreatConfirm,T_BattleTargetInkDab_07.png,T_BattleTargetInkDab_07.png,/Game/GameXXK/UI/Battle/Textures/T_BattleTargetInkDab_07.T_BattleTargetInkDab_07,,320,136,RGBA,true,true,命中、目标箭头与墨迹特效,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",239fa35719dd8e332f017600dde26358344853eb4581544d34a8172115578d76
